"dool 1.3.8 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","master",,,,"User:","master"
"Cmdline:","/home/master/.local/bin/dool -t --cpu --mem --output Rendimiento/master_c1.csv 1",,,,"Date:","16 Dec 2025 01:54:55 UTC"
"system","total cpu usage",,,,,"memory usage",,,
"time","usr","sys","idl","wai","stl","used","free","cach","avai"
Dec-16 01:54:55,2.821,0.918,96.171,0.090,0,2539241472,217870336,1204715520,1329242112
Dec-16 01:54:56,0.253,0,99.747,0,0,2539491328,217579520,1204719616,1328967680
Dec-16 01:54:57,0.254,0,99.746,0,0,2539491328,217579520,1204719616,1328967680
Dec-16 01:54:58,22.135,0.521,77.344,0,0,2542911488,214159360,1204719616,1325547520
Dec-16 01:54:59,82.940,1.837,15.223,0,0,2549817344,206901248,1205002240,1318612992
Dec-16 01:55:00,72.480,2.725,24.796,0,0,2556186624,200384512,1205116928,1312227328
Dec-16 01:55:01,67.027,1.622,31.351,0,0,2562863104,193708032,1205116928,1305550848
Dec-16 01:55:02,31.638,3.107,65.254,0,0,2563219456,193351680,1205116928,1305194496
Dec-16 01:55:03,33.983,10.585,55.432,0,0,2598748160,157818880,1205116928,1269661696
Dec-16 01:55:04,30.435,18.159,51.407,0,0,2643374080,113192960,1205116928,1225035776
Dec-16 01:55:05,19.487,51.538,28.974,0,0,2689269760,94146560,1188814848,1181880320
Dec-16 01:55:06,52.850,14.508,32.642,0,0,2735841280,108474368,1129107456,1134702592
Dec-16 01:55:07,59.055,1.837,39.108,0,0,2648068096,196214784,1129119744,1222578176
Dec-16 01:55:08,52.480,1.305,46.214,0,0,2655027200,189091840,1129238528,1215623168
Dec-16 01:55:09,0.256,0.512,99.233,0,0,2653999104,190124032,1129299968,1216684032
Dec-16 01:55:10,0.254,0.254,99.492,0,0,2653970432,190124032,1129328640,1216684032
Dec-16 01:55:11,0.255,0,99.745,0,0,2653970432,190124032,1129328640,1216684032
Dec-16 01:55:12,0.254,0,99.746,0,0,2653970432,190124032,1129328640,1216684032
Dec-16 01:55:13,0,0.254,99.746,0,0,2653970432,190124032,1129328640,1216684032
Dec-16 01:55:14,0,0,100,0,0,2654003200,190091264,1129328640,1216651264
Dec-16 01:55:15,0.254,0,99.746,0,0,2654003200,190091264,1129328640,1216651264
Dec-16 01:55:16,0,0,100,0,0,2654003200,190091264,1129328640,1216651264
Dec-16 01:55:17,0.254,0,99.746,0,0,2654003200,190091264,1129328640,1216651264
Dec-16 01:55:18,0.254,0.254,99.237,0.254,0,2653966336,190124032,1129328640,1216716800
Dec-16 01:55:19,0,0,100,0,0,2653966336,190124032,1129328640,1216716800
Dec-16 01:55:20,0.254,0.254,99.491,0,0,2653999104,190083072,1129328640,1216679936
Dec-16 01:55:21,0,0,100,0,0,2653999104,190083072,1129328640,1216696320
Dec-16 01:55:22,0,0,100,0,0,2653999104,190083072,1129328640,1216696320
Dec-16 01:55:23,0.255,0,99.745,0,0,2653999104,190083072,1129328640,1216696320
Dec-16 01:55:24,0.254,0.254,99.492,0,0,2653999104,190083072,1129328640,1216696320
Dec-16 01:55:25,0,0,100,0,0,2654257152,189825024,1129328640,1216438272
Dec-16 01:55:26,0,0,100,0,0,2654257152,189825024,1129328640,1216438272
Dec-16 01:55:27,0.254,0,99.746,0,0,2654289920,189792256,1129328640,1216405504
Dec-16 01:55:28,0.509,0.254,99.237,0,0,2654158848,189792256,1129459712,1216524288
Dec-16 01:55:29,0.254,0,99.746,0,0,2654158848,189792256,1129459712,1216524288
Dec-16 01:55:30,0.254,0,99.746,0,0,2654158848,189792256,1129459712,1216524288
Dec-16 01:55:31,0,0.254,99.746,0,0,2654158848,189792256,1129459712,1216524288
Dec-16 01:55:32,0,0,100,0,0,2654158848,189792256,1129459712,1216524288
Dec-16 01:55:33,0,0,100,0,0,2654158848,189792256,1129459712,1216540672
Dec-16 01:55:34,0.508,0,99.492,0,0,2654158848,189792256,1129459712,1216540672
Dec-16 01:55:35,0,0,100,0,0,2654158848,189792256,1129459712,1216540672
Dec-16 01:55:36,0,0.254,99.746,0,0,2654158848,189792256,1129459712,1216540672
Dec-16 01:55:37,0.508,0,99.492,0,0,2654158848,189792256,1129459712,1216540672
Dec-16 01:55:38,0,0.255,99.745,0,0,2654158848,189792256,1129459712,1216540672
