"dool 1.3.8 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","sh1nj1-vmwarevirtual",,,,"User:","sh1nj1"
"Cmdline:","/home/sh1nj1/.local/bin/dool -t --cpu --mem --output Rendimiento/nodo_c3.csv 1",,,,"Date:","16 Dec 2025 18:04:22 -05"
"system","total cpu usage",,,,,"memory usage",,,
"time","usr","sys","idl","wai","stl","used","free","cach","avai"
Dec-16 18:04:22,18.808,5.517,75.208,0.468,0,2859864064,127737856,1003368448,974442496
Dec-16 18:04:23,0.521,0,99.479,0,0,2859859968,127737856,1003372544,974540800
Dec-16 18:04:24,3.665,1.571,94.764,0,0,2859859968,127737856,1003372544,974557184
Dec-16 18:04:25,65.128,0,34.872,0,0,2859655168,127737856,1003577344,974761984
Dec-16 18:04:26,91.414,3.030,5.556,0,0,2862710784,124383232,1003745280,971640832
Dec-16 18:04:27,94.444,2.525,2.020,1.010,0,2864070656,122318848,1004417024,970264576
Dec-16 18:04:28,86.224,6.122,7.653,0,0,2864844800,121544704,1004417024,969498624
Dec-16 18:04:29,59.184,5.612,35.204,0,0,2866135040,120254464,1004417024,968208384
Dec-16 18:04:30,63.959,8.629,27.411,0,0,2907475968,122724352,960606208,925908992
Dec-16 18:04:31,82.828,10.101,6.566,0.505,0,2995642368,120963072,874315776,834838528
Dec-16 18:04:32,78,2,20,0,0,2958753792,157904896,874291200,871735296
Dec-16 18:04:33,73.711,3.608,19.072,3.608,0,2963013632,151781376,876154880,867475456
Dec-16 18:04:34,93.500,3.500,2,1,0,2980929536,133132288,876888064,849559552
Dec-16 18:04:35,89.848,2.538,7.107,0.508,0,2982506496,131067904,877375488,847982592
Dec-16 18:04:36,87.879,4.545,7.576,0,0,2987749376,125734912,877465600,842739712
Dec-16 18:04:37,55.385,6.667,37.949,0,0,2987737088,122441728,880771072,842637312
Dec-16 18:04:38,65.327,12.563,22.111,0,0,2983567360,111206400,896176128,846917632
Dec-16 18:04:39,78.894,4.020,16.583,0.503,0,2985574400,105316352,900059136,844922880
Dec-16 18:04:40,84.694,3.061,12.245,0,0,2976911360,117522432,896516096,853479424
Dec-16 18:04:41,87.879,9.091,3.030,0,0,2978017280,115904512,897007616,852324352
Dec-16 18:04:42,86.224,11.224,2.551,0,0,2979913728,113582080,897429504,850632704
Dec-16 18:04:43,89.848,7.107,3.046,0,0,2981990400,110800896,898056192,848658432
Dec-16 18:04:44,94.949,2.020,1.515,1.515,0,2985893888,106156032,898633728,844808192
Dec-16 18:04:45,85.787,7.107,7.107,0,0,2982313984,142626816,865742848,845611008
Dec-16 18:04:46,44.693,5.587,35.754,13.966,0,2989776896,126697472,874307584,838258688
Dec-16 18:04:47,66.839,5.181,25.389,2.591,0,2993668096,119762944,877350912,834400256
Dec-16 18:04:48,53.061,3.571,43.367,0,0,2995912704,117469184,877400064,832159744
Dec-16 18:04:49,60.714,6.633,32.143,0.510,0,3019235328,110489600,861057024,807931904
Dec-16 18:04:50,90.306,0.510,9.184,0,0,3019747328,110104576,860966912,807600128
Dec-16 18:04:51,87,0.500,12.500,0,0,3020263424,109588480,860966912,807084032
Dec-16 18:04:52,67.358,5.181,26.943,0.518,0,3045974016,117202944,828166144,769323008
Dec-16 18:04:53,80.905,0.503,18.593,0,0,3052691456,110870528,827797504,762486784
Dec-16 18:04:54,73.869,3.015,23.116,0,0,3060326400,138428416,792707072,746631168
Dec-16 18:04:55,60.914,1.015,38.071,0,0,3061436416,137396224,792633344,745570304
Dec-16 18:04:56,74.490,1.531,23.980,0,0,3061833728,136622080,793010176,745172992
Dec-16 18:04:57,71.212,1.010,27.273,0.505,0,3062607872,135847936,793010176,744398848
Dec-16 18:04:58,78.866,0.515,20.619,0,0,3064778752,133582848,793104384,742227968
Dec-16 18:04:59,82.412,1.005,16.583,0,0,3071483904,126873600,793108480,735522816
Dec-16 18:05:00,58.462,1.026,40.513,0,0,3083096064,115261440,793108480,723910656
Dec-16 18:05:01,53.807,2.030,43.655,0.508,0,3086839808,128970752,775671808,724320256
Dec-16 18:05:02,55.838,0.508,43.655,0,0,3086774272,128970752,775737344,724283392
Dec-16 18:05:03,56.784,1.005,42.211,0,0,3087003648,128741376,775737344,724054016
Dec-16 18:05:04,52.525,0.505,46.970,0,0,3087261696,128483328,775737344,723795968
Dec-16 18:05:05,52.821,0,47.179,0,0,3087519744,128225280,775737344,723537920
Dec-16 18:05:06,54.822,0.508,44.670,0,0,3088035840,127709184,775737344,723030016
Dec-16 18:05:07,52.308,1.026,46.667,0,0,3090616320,125128704,775737344,720449536
Dec-16 18:05:08,51.020,1.020,47.959,0,0,3094757376,120983552,775741440,716308480
Dec-16 18:05:09,55.838,0.508,43.655,0,0,3098886144,116854784,775741440,712179712
Dec-16 18:05:10,52.551,1.020,46.429,0,0,3106111488,109629440,775741440,704954368
Dec-16 18:05:11,52.551,0.510,46.939,0,0,3109490688,115822592,766169088,700706816
Dec-16 18:05:12,52.284,1.015,46.193,0.508,0,3110014976,115195904,766271488,700186624
Dec-16 18:05:13,57.732,0.515,41.753,0,0,3112595456,112615424,766271488,697606144
Dec-16 18:05:14,51.777,1.015,47.208,0,0,3114917888,110292992,766271488,695283712
Dec-16 18:05:15,53.571,0.510,45.918,0,0,3115692032,109518848,766271488,694509568
Dec-16 18:05:16,56.122,0.510,43.367,0,0,3107606528,127082496,756805632,701444096
Dec-16 18:05:17,51.777,1.015,47.208,0,0,3108237312,126566400,756699136,700964864
Dec-16 18:05:18,52.792,0.508,46.701,0,0,3109003264,125792256,756707328,700198912
Dec-16 18:05:19,52.551,0.510,46.939,0,0,3109261312,125534208,756707328,699940864
Dec-16 18:05:20,51.777,0.508,47.716,0,0,3109519360,125276160,756707328,699682816
Dec-16 18:05:21,51.531,1.020,47.449,0,0,3110035456,124760064,756707328,699166720
Dec-16 18:05:22,69.388,0.510,30.102,0,0,3124162560,110632960,756707328,685039616
Dec-16 18:05:23,57.653,0.510,41.837,0,0,3124936704,109858816,756707328,684273664
Dec-16 18:05:24,52.020,0.505,47.475,0,0,3124936704,109858816,756707328,684273664
Dec-16 18:05:25,55.330,3.046,41.624,0,0,3126538240,118546432,746418176,681963520
Dec-16 18:05:26,53.299,0.508,46.193,0,0,3126341632,118857728,746364928,682336256
Dec-16 18:05:27,54.822,0.508,44.670,0,0,3126341632,118857728,746364928,682336256
Dec-16 18:05:28,51.269,0.508,48.223,0,0,3126599680,118599680,746364928,682078208
Dec-16 18:05:29,53.571,0,46.429,0,0,3127373824,117825536,746364928,681312256
