"dool 1.3.8 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","slave1",,,,"User:","slave1"
"Cmdline:","/home/slave1/.local/bin/dool -t --cpu --mem --output Rendimiento/slave1_c4.csv 1",,,,"Date:","16 Dec 2025 23:49:46 UTC"
"system","total cpu usage",,,,,"memory usage",,,
"time","usr","sys","idl","wai","stl","used","free","cach","avai"
Dec-16 23:49:46,1.173,1.195,97.454,0.179,0,932818944,1219629056,831328256,1926819840
Dec-16 23:49:47,0.508,0,99.492,0,0,932847616,1219596288,831332352,1926787072
Dec-16 23:49:48,0,0,100,0,0,932847616,1219596288,831332352,1926791168
Dec-16 23:49:49,0.508,0,99.492,0,0,932847616,1219596288,831332352,1926791168
Dec-16 23:49:50,0,0,100,0,0,932847616,1219596288,831332352,1926791168
Dec-16 23:49:51,1.531,0,98.469,0,0,932847616,1219596288,831332352,1926799360
Dec-16 23:49:52,0.505,0.505,98.990,0,0,932847616,1219596288,831332352,1926799360
Dec-16 23:49:53,4,4.667,91.333,0,0,933687296,1218756608,831332352,1925959680
Dec-16 23:49:54,5.229,3.922,90.850,0,0,934170624,1218273280,831332352,1925476352
Dec-16 23:49:55,0,0,100,0,0,934170624,1218273280,831332352,1925476352
Dec-16 23:49:56,0,0.508,99.492,0,0,934170624,1218273280,831332352,1925476352
Dec-16 23:49:57,2.793,0.559,96.648,0,0,934526976,1217916928,831332352,1925128192
Dec-16 23:49:58,1.005,0.503,98.492,0,0,934428672,1218015232,831332352,1925226496
Dec-16 23:49:59,0,0.510,99.490,0,0,934428672,1218015232,831332352,1925226496
Dec-16 23:50:00,0,0,100,0,0,934428672,1218015232,831332352,1925226496
Dec-16 23:50:01,0.508,0.508,98.985,0,0,934686720,1217757184,831332352,1924968448
Dec-16 23:50:02,0,0,100,0,0,934694912,1217757184,831324160,1924968448
Dec-16 23:50:03,0.508,0.508,98.985,0,0,935460864,1216983040,831332352,1924202496
Dec-16 23:50:04,0.505,0,99.495,0,0,935460864,1216983040,831332352,1924202496
Dec-16 23:50:05,0.505,0,99.495,0,0,935460864,1216983040,831332352,1924202496
Dec-16 23:50:06,0,0.510,99.490,0,0,935428096,1217015808,831332352,1924235264
Dec-16 23:50:07,0,0,100,0,0,935428096,1217015808,831332352,1924235264
Dec-16 23:50:08,0.508,0,99.492,0,0,935428096,1217015808,831332352,1924235264
Dec-16 23:50:09,0.505,0,99.495,0,0,935428096,1217015808,831332352,1924235264
Dec-16 23:50:10,0,0,100,0,0,935428096,1217015808,831332352,1924235264
Dec-16 23:50:11,0,0.508,99.492,0,0,935424000,1217015808,831336448,1924235264
Dec-16 23:50:12,0,0,100,0,0,935424000,1217015808,831336448,1924235264
Dec-16 23:50:13,0.505,0.505,98.990,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:14,0,0,100,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:15,0,0,100,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:16,0,0,100,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:17,0.508,0,99.492,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:18,0,0,100,0,0,935424000,1217015808,831336448,1924255744
Dec-16 23:50:19,0,0,100,0,0,935424000,1217015808,831336448,1924263936
Dec-16 23:50:20,0,0,100,0,0,935424000,1217015808,831336448,1924263936
Dec-16 23:50:21,8.982,2.994,88.024,0,0,935940096,1216499712,831336448,1923747840
Dec-16 23:50:22,2.721,2.041,95.238,0,0,936747008,1215692800,831336448,1922949120
Dec-16 23:50:23,0,0.508,99.492,0,0,936747008,1215692800,831336448,1922949120
Dec-16 23:50:24,0.513,0,99.487,0,0,937005056,1215434752,831336448,1922691072
Dec-16 23:50:25,0.503,0.503,98.995,0,0,937005056,1215434752,831336448,1922691072
Dec-16 23:50:26,0,0,100,0,0,937005056,1215434752,831336448,1922691072
Dec-16 23:50:27,0.508,0,99.492,0,0,936972288,1215467520,831336448,1922723840
Dec-16 23:50:28,0,0.505,99.495,0,0,936972288,1215467520,831336448,1922723840
Dec-16 23:50:29,0.508,0,99.492,0,0,936972288,1215467520,831336448,1922723840
Dec-16 23:50:30,2.688,1.613,95.699,0,0,937230336,1215209472,831336448,1922473984
Dec-16 23:50:31,2.740,0.685,96.575,0,0,937521152,1214918656,831336448,1922183168
Dec-16 23:50:32,4.167,4.167,91.667,0,0,938328064,1214111744,831336448,1921376256
Dec-16 23:50:33,4.545,1.948,93.506,0,0,938553344,1213886464,831336448,1921159168
Dec-16 23:50:34,2.548,2.548,94.904,0,0,939036672,1213403136,831336448,1920675840
Dec-16 23:50:35,2.439,1.829,95.732,0,0,939356160,1213079552,831340544,1920356352
Dec-16 23:50:36,0,0,100,0,0,939323392,1213112320,831340544,1920389120
Dec-16 23:50:37,0,0,100,0,0,939323392,1213112320,831340544,1920389120
Dec-16 23:50:38,0.508,0.508,98.985,0,0,939323392,1213112320,831340544,1920389120
Dec-16 23:50:39,0,0,100,0,0,939290624,1213145088,831340544,1920430080
Dec-16 23:50:40,0,0.508,99.492,0,0,939290624,1213145088,831340544,1920430080
Dec-16 23:50:41,0,0,100,0,0,939290624,1213145088,831340544,1920430080
Dec-16 23:50:42,0,0,100,0,0,939290624,1213145088,831340544,1920430080
Dec-16 23:50:43,0.505,0,99.495,0,0,939290624,1213145088,831340544,1920430080
Dec-16 23:50:44,0,0,100,0,0,939548672,1212887040,831340544,1920172032
Dec-16 23:50:45,0.503,0.503,98.995,0,0,939548672,1212887040,831340544,1920172032
Dec-16 23:50:46,0,0,100,0,0,939548672,1212887040,831340544,1920172032
Dec-16 23:50:47,0.510,0.510,98.980,0,0,939839488,1212596224,831340544,1919889408
Dec-16 23:50:48,0,0,100,0,0,939839488,1212596224,831340544,1919893504
Dec-16 23:50:49,0,0.505,99.495,0,0,939839488,1212596224,831340544,1919897600
