fecha_accidente,departamento,modalidad,codigo_via,km,nro_fallecidos,nro_heridos,hora
2020-07-01,JUNIN,DESPISTE,PE-22,20,0,0,08:30
2020-07-01,LA LIBERTAD,DESPISTE,PE-1N,705,0,0,09:20
2020-07-03,LAMBAYEQUE,ESPECIAL,PE-1N,119,0,1,21:30
2020-07-03,AYACUCHO,DESPISTE,PE-3S,130,0,0,16:40
2020-07-04,AYACUCHO,CHOQUE,PE-28B,79,0,2,17:38
2020-07-06,PIURA,CHOQUE,PE-02A,1,0,2,19:40
2020-07-06,LORETO,ATROPELLO,LO-103,3,0,1,14:30
2020-07-06,LIMA,CHOQUE,PE-1S,163,0,1,05:30
2020-07-07,ANCASH,DESPISTE,PE-1N,34,0,0,10:30
2020-07-08,ANCASH,CHOQUE,PE-3N,571,0,1,21:50
2020-07-09,CAJAMARCA,ATROPELLO,PE-08B,45,0,1,11:55
2020-07-10,CUSCO,DESPISTE,PE-28B,243,0,1,05:30
2020-07-11,LIMA,DESPISTE,PE-1NA,16,0,0,05:30
2020-07-11,LIMA,DESPISTE,PE-1S,82,0,2,15:45
2020-07-14,LIMA,DESPISTE,PE-16,8,0,2,11:55
2020-07-16,HUANCAVELICA,DESPISTE,PE-3SD,28,0,1,17:45
2020-07-16,LIMA,CHOQUE,PE-1N,63,0,0,07:30
2020-07-16,APURIMAC,DESPISTE,PE-30A,383,0,0,15:40
2020-07-20,LIMA,ESPECIAL,PE-1S,139,0,0,22:40
2020-07-22,LIMA,CHOQUE,PE-22,120,0,0,02:00
2020-07-22,MADRE DE DIOS,CHOQUE,PE-30C,277,0,1,14:15
2020-07-23,ICA,CHOQUE,PE-1S,456,3,1,03:50
2020-07-26,JUNIN,DESPISTE,PE-22,159,0,0,20:20
2020-07-27,APURIMAC,DESPISTE,PE-30A,366,0,1,22:00
2020-07-27,LA LIBERTAD,ESPECIAL,PE-1N,555,0,2,15:00
2020-07-30,JUNIN,CHOQUE,PE-22,138,0,2,17:15
2020-07-30,ANCASH,ESPECIAL,PE-1N,423,0,5,21:15
2021-07-01,PUNO,CHOQUE,PE-3S,1390,0,0,09:20
2021-07-03,LIMA,CHOQUE,PE-1S,39,0,0,05:50
2021-07-03,AREQUIPA,CHOQUE,PE-34A,172,0,1,19:05
2021-07-03,PIURA,CHOQUE,PE-1NL,1093,0,3,13:35
