departamento,tasa_fatalidad_promedio,tasa_fatalidad_porcentaje
CALLAO,0.16666666666666666,16.666666666666664
LA LIBERTAD,0.16274745913968855,16.274745913968854
TUMBES,0.14800000000000002,14.800000000000002
PIURA,0.1413704367953523,14.13704367953523
HUANCAVELICA,0.13530465949820789,13.530465949820789
PUNO,0.11747737263299682,11.747737263299681
MADRE DE DIOS,0.10558464223385691,10.558464223385691
TACNA,0.10527794501304434,10.527794501304435
ICA,0.09777639469284033,9.777639469284033
HUANUCO,0.09434865900383142,9.434865900383143
UCAYALI,0.08878886265249902,8.878886265249902
APURIMAC,0.08781628162816281,8.781628162816281
SAN MARTIN,0.087745223146683,8.7745223146683
LAMBAYEQUE,0.08481131899223206,8.481131899223206
CUSCO,0.08453410182516809,8.453410182516809
JUNIN,0.07383626474535568,7.383626474535568
LIMA,0.070566268995567,7.056626899556701
AREQUIPA,0.06933346532539071,6.933346532539071
ANCASH,0.05686841623303417,5.686841623303417
CAJAMARCA,0.050142857142857135,5.014285714285713
LORETO,0.046747967479674794,4.67479674796748
AYACUCHO,0.04497740602651317,4.497740602651317
AMAZONAS,0.042324561403508765,4.232456140350877
PASCO,0.039956891847648154,3.9956891847648155
MOQUEGUA,0.018548387096774192,1.8548387096774193
N.I.,0.0,0.0
