hora,indice_severidad_promedio,indice_severidad_redondeado
0,2.0268199233716473,2.03
1,2.0217391304347827,2.02
2,1.8481012658227849,1.85
3,2.3161290322580643,2.32
4,2.2908366533864544,2.29
5,2.190340909090909,2.19
6,1.6326963906581742,1.63
7,2.0756302521008405,2.08
8,1.5266272189349113,1.53
9,1.5640243902439024,1.56
10,1.626740947075209,1.63
11,1.5666666666666667,1.57
12,2.1676470588235293,2.17
13,1.6512345679012346,1.65
14,2.2714681440443214,2.27
15,1.6742424242424243,1.67
16,1.9093023255813955,1.91
17,1.6294117647058823,1.63
18,1.6265060240963856,1.63
19,1.686936936936937,1.69
20,1.9115281501340482,1.91
21,1.5528455284552845,1.55
22,1.450909090909091,1.45
23,2.018450184501845,2.02
